0e0	1.e0
1.e-3	9.83915947335e-1
1.09647819614e-3	9.80836670498e-1
1.20226443462e-3	9.77207901086e-1
1.31825673856e-3	9.72948339695e-1
1.44543977075e-3	9.67971405642e-1
1.58489319246e-3	9.62188021414e-1
1.73780082875e-3	9.55510540408e-1
1.90546071796e-3	9.47857973765e-1
2.08929613085e-3	9.39163516398e-1
2.29086765277e-3	9.29379704289e-1
2.51188643151e-3	9.18488796571e-1
2.75422870334e-3	9.06496348043e-1
3.0199517204e-3	8.93430641422e-1
3.31131121483e-3	8.7930043893e-1
3.6307805477e-3	8.64051405602e-1
3.98107170553e-3	8.47420255243e-1
4.3651583224e-3	8.28939128423e-1
4.78630092323e-3	8.07528891402e-1
5.2480746025e-3	7.82274972142e-1
5.75439937337e-3	7.51810390487e-1
6.3095734448e-3	7.16393517414e-1
6.91830970919e-3	6.77229151091e-1
7.58577575029e-3	6.36732308466e-1
8.31763771103e-3	5.97218799688e-1
9.12010839356e-3	5.58755568889e-1
1.e-2	5.2120354194e-1
1.09647819614e-2	4.82045836393e-1
1.20226443462e-2	4.42486527907e-1
1.31825673856e-2	4.04123038286e-1
1.44543977075e-2	3.67122559931e-1
1.58489319246e-2	3.31873243741e-1
1.73780082875e-2	2.98526149927e-1
1.90546071796e-2	2.67235755544e-1
2.08929613085e-2	2.38164879057e-1
2.29086765277e-2	2.11363529691e-1
2.51188643151e-2	1.86865809115e-1
2.75422870334e-2	1.64603622311e-1
3.0199517204e-2	1.44515387469e-1
3.31131121483e-2	1.26479546783e-1
3.6307805477e-2	1.1037575615e-1
3.98107170553e-2	9.60633761581e-2
4.3651583224e-2	8.33927100405e-2
4.78630092323e-2	7.2227450262e-2
5.2480746025e-2	6.2412294042e-2
5.75439937337e-2	5.38241031017e-2
6.3095734448e-2	4.6321564461e-2
6.91830970919e-2	3.97924145528e-2
7.58577575029e-2	3.41223783233e-2
8.31763771103e-2	2.92117627941e-2
9.12010839356e-2	2.49660754779e-2
1.e-1	2.13014791331e-2
1.09647819614e-1	1.81497033998e-2
1.20226443462e-1	1.54413390272e-2
1.31825673856e-1	1.3121478762e-2
1.44543977075e-1	1.11350082942e-2
1.58489319246e-1	9.43745438429e-3
1.73780082875e-1	7.98893328363e-3
1.90546071796e-1	6.75509593421e-3
2.08929613085e-1	5.70593212586e-3
2.29086765277e-1	4.81453727378e-3
2.51188643151e-1	4.05876055608e-3
2.75422870334e-1	3.41820009705e-3
3.0199517204e-1	2.8763408567e-3
3.31131121483e-1	2.41829389953e-3
3.6307805477e-1	2.03169139414e-3
3.98107170553e-1	1.70565100815e-3
4.3651583224e-1	1.43093114306e-3
4.78630092323e-1	1.1997268654e-3
5.2480746025e-1	1.00523615407e-3
5.75439937337e-1	8.41845170836e-4
6.3095734448e-1	7.04614891097e-4
6.91830970919e-1	5.89486448255e-4
7.58577575029e-1	4.92935597605e-4
8.31763771103e-1	4.12026166021e-4
9.12010839356e-1	3.44268673779e-4
1.e0	2.87549472075e-4
1.09647819614e0	2.4009711787e-4
1.20226443462e0	2.00407456147e-4
1.31825673856e0	1.67235123556e-4
1.44543977075e0	1.39514020256e-4
1.58489319246e0	1.16361072974e-4
1.73780082875e0	9.70282008265e-5
1.90546071796e0	8.08905860404e-5
2.08929613085e0	6.74229603527e-5
2.29086765277e0	5.61868264332e-5
2.51188643151e0	4.68187937872e-5
2.75422870334e0	3.90069799474e-5
3.0199517204e0	3.24927949846e-5
3.31131121483e0	2.70626639337e-5
3.6307805477e0	2.25378436176e-5
3.98107170553e0	1.87675103214e-5
4.3651583224e0	1.56263127562e-5
4.78630092323e0	1.30098651107e-5
5.2480746025e0	1.08306107366e-5
5.75439937337e0	9.01564982433e-6
6.3095734448e0	7.50429596885e-6
6.91830970919e0	6.24606784926e-6
7.58577575029e0	5.19848426573e-6
8.31763771103e0	4.32631507942e-6
9.12010839356e0	3.60025952496e-6
1.e1	2.99590155509e-6
